Object ID,Street Name,Property Class,Shape Area,Shape Length
0, COLBORNE ST E, Residential:  3+ Units, 609.4748651, 110.5922201
1, RITSON RD N, Residential:  3+ Units, 405.9429515, 86.32727145
2, ELGIN ST E, Residential:  3+ Units, 466.0809775, 104.4175463
3, BROCK ST E, Residential:  3+ Units, 456.6701991, 102.2730171
4, MARY ST N, Residential:  3+ Units, 464.2066647, 91.40202776
5, DIVISION ST , Residential:  3+ Units, 303.4775922, 70.40501172
6, FAIRBANKS ST , Residential:  3+ Units, 368.1572123, 83.4501333
7, BROCK ST E, Residential:  3+ Units, 487.388708, 103.9948701
8, BROCK ST E, Residential:  3+ Units, 223.7877395, 62.48150839
9, DIVISION ST , Residential:  3+ Units, 1006.691377, 127.0149888
10, PARK RD S, Residential:  3+ Units, 903.8223571, 161.0707221
11, RITSON RD S, Residential:  3+ Units, 562.7282563, 115.0563215
